➜  Bachelor Arbeit LaTex git:(main) ✗ python Code/main.py
####################################################################################################
Training: 1WL+NN: sum
Cross-Validation Split 1/10:
        Epoch: 300,      Train Loss: -0.04864,   Train Acc: 56.0%,       Val Loss: 0.00379,      Val Acc: 37.3%
        Epoch: 350,      Train Loss: -0.04695,   Train Acc: 55.9%,       Val Loss: 0.00376,      Val Acc: 39.3%
        Epoch: 400,      Train Loss: -0.05043,   Train Acc: 56.3%,       Val Loss: 0.00365,      Val Acc: 38.0%
        Epoch: 450,      Train Loss: -0.04827,   Train Acc: 56.1%,       Val Loss: 0.00322,      Val Acc: 40.7%
        Epoch: 500,      Train Loss: -0.05126,   Train Acc: 56.3%,       Val Loss: 0.00343,      Val Acc: 40.0%
Cross-Validation Split 4/10:
        Epoch: 50,       Train Loss: -0.0169,    Train Acc: 53.0%,       Val Loss: 0.00265,      Val Acc: 40.7%
        Epoch: 100,      Train Loss: -0.028,     Train Acc: 54.1%,       Val Loss: 0.0017,       Val Acc: 46.0%
        Epoch: 150,      Train Loss: -0.03313,   Train Acc: 54.1%,       Val Loss: 0.00218,      Val Acc: 43.3%
        Epoch: 200,      Train Loss: -0.02684,   Train Acc: 53.3%,       Val Loss: 0.00212,      Val Acc: 44.0%
        Epoch: 250,      Train Loss: -0.03599,   Train Acc: 55.1%,       Val Loss: 0.00167,      Val Acc: 44.7%
        Epoch: 300,      Train Loss: -0.03557,   Train Acc: 54.6%,       Val Loss: 0.00205,      Val Acc: 44.7%
        Epoch: 350,      Train Loss: -0.03284,   Train Acc: 54.1%,       Val Loss: 0.0021,       Val Acc: 44.0%
        Epoch: 400,      Train Loss: -0.03896,   Train Acc: 55.0%,       Val Loss: 0.00223,      Val Acc: 42.7%
        Epoch: 450,      Train Loss: -0.03689,   Train Acc: 54.5%,       Val Loss: 0.00211,      Val Acc: 44.0%
        Epoch: 500,      Train Loss: -0.0402,    Train Acc: 55.1%,       Val Loss: 0.00229,      Val Acc: 42.7%
Cross-Validation Split 5/10:
        Epoch: 50,       Train Loss: -0.02717,   Train Acc: 54.2%,       Val Loss: 0.00423,      Val Acc: 32.7%
        Epoch: 100,      Train Loss: -0.03866,   Train Acc: 54.8%,       Val Loss: 0.00502,      Val Acc: 31.3%
        Epoch: 150,      Train Loss: -0.04403,   Train Acc: 55.3%,       Val Loss: 0.00467,      Val Acc: 31.3%
        Epoch: 200,      Train Loss: -0.04359,   Train Acc: 55.7%,       Val Loss: 0.0047,       Val Acc: 32.7%
