        Epoch: 450,      Train Loss: -1.11958,   Train Acc: 98.6%,       Val Loss: -0.00619,     Val Acc: 48.6%
        Epoch: 475,      Train Loss: -1.12838,   Train Acc: 98.9%,       Val Loss: -0.00557,     Val Acc: 47.7%
        Epoch: 500,      Train Loss: -1.10588,   Train Acc: 98.1%,       Val Loss: -0.00431,     Val Acc: 44.1%
Cross-Validation Split 8/10:
        Epoch: 25,       Train Loss: -1.01881,   Train Acc: 94.9%,       Val Loss: -0.01282,     Val Acc: 61.3%
        Epoch: 50,       Train Loss: -1.05834,   Train Acc: 96.4%,       Val Loss: -0.01231,     Val Acc: 59.5%
        Epoch: 75,       Train Loss: -1.07196,   Train Acc: 97.0%,       Val Loss: -0.01263,     Val Acc: 61.3%
        Epoch: 100,      Train Loss: -1.0917,    Train Acc: 97.7%,       Val Loss: -0.01224,     Val Acc: 60.4%
        Epoch: 125,      Train Loss: -1.09227,   Train Acc: 97.7%,       Val Loss: -0.01416,     Val Acc: 64.0%
        Epoch: 150,      Train Loss: -1.09329,   Train Acc: 97.7%,       Val Loss: -0.01189,     Val Acc: 59.5%
        Epoch: 175,      Train Loss: -1.09119,   Train Acc: 97.6%,       Val Loss: -0.01039,     Val Acc: 55.0%
        Epoch: 200,      Train Loss: -1.11339,   Train Acc: 98.4%,       Val Loss: -0.01244,     Val Acc: 59.5%
        Epoch: 225,      Train Loss: -1.10461,   Train Acc: 97.9%,       Val Loss: -0.00928,     Val Acc: 55.0%
        Epoch: 250,      Train Loss: -1.10746,   Train Acc: 98.1%,       Val Loss: -0.00847,     Val Acc: 50.5%
        Epoch: 275,      Train Loss: -1.12783,   Train Acc: 98.9%,       Val Loss: -0.00952,     Val Acc: 55.0%
        Epoch: 300,      Train Loss: -1.13629,   Train Acc: 99.2%,       Val Loss: -0.0118,      Val Acc: 60.4%
        Epoch: 325,      Train Loss: -1.13154,   Train Acc: 99.0%,       Val Loss: -0.0073,      Val Acc: 48.6%
        Epoch: 350,      Train Loss: -1.14035,   Train Acc: 99.3%,       Val Loss: -0.01361,     Val Acc: 64.9%
        Epoch: 375,      Train Loss: -1.12791,   Train Acc: 98.9%,       Val Loss: -0.00805,     Val Acc: 51.4%
        Epoch: 400,      Train Loss: -1.1166,    Train Acc: 98.6%,       Val Loss: -0.0078,      Val Acc: 51.4%
        Epoch: 425,      Train Loss: -1.1075,    Train Acc: 98.1%,       Val Loss: -0.01045,     Val Acc: 56.8%
        Epoch: 450,      Train Loss: -1.12649,   Train Acc: 98.8%,       Val Loss: -0.00536,     Val Acc: 44.1%
        Epoch: 475,      Train Loss: -1.11212,   Train Acc: 98.3%,       Val Loss: -0.00903,     Val Acc: 54.1%
        Epoch: 500,      Train Loss: -1.13162,   Train Acc: 99.0%,       Val Loss: -0.006,       Val Acc: 46.8%
Cross-Validation Split 9/10:
        Epoch: 25,       Train Loss: -1.00659,   Train Acc: 94.4%,       Val Loss: -0.00891,     Val Acc: 51.4%
        Epoch: 50,       Train Loss: -1.07419,   Train Acc: 97.0%,       Val Loss: -0.00895,     Val Acc: 51.4%
        Epoch: 75,       Train Loss: -1.07489,   Train Acc: 97.0%,       Val Loss: -0.00701,     Val Acc: 47.7%
        Epoch: 100,      Train Loss: -1.09846,   Train Acc: 97.8%,       Val Loss: -0.00744,     Val Acc: 47.7%
        Epoch: 125,      Train Loss: -1.10938,   Train Acc: 98.3%,       Val Loss: -0.00703,     Val Acc: 48.6%
        Epoch: 150,      Train Loss: -1.09849,   Train Acc: 97.9%,       Val Loss: -0.00641,     Val Acc: 46.8%
        Epoch: 175,      Train Loss: -1.09812,   Train Acc: 97.8%,       Val Loss: -0.00746,     Val Acc: 48.6%
        Epoch: 200,      Train Loss: -1.10207,   Train Acc: 98.0%,       Val Loss: -0.00756,     Val Acc: 47.7%
